Step =      0: nodes = 21160, dt = 0.000000e+00, strain = 0.000000e+00, elapsed = 0.0 sec
Writing configuration in legacy data format
 Output file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_fcc/config.0.data
Writing restart file
 Restart file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_fcc/restart.0.exadis
Run until reaching strain = 0.010000
Warning: max collisions have been reached. Some collisions have been ignored
Step =      1: nodes = 12448, dt = 1.000000e-10, strain = 1.000000e-07, elapsed = 12.5 sec
Step =      2: nodes = 5612, dt = 1.200000e-10, strain = 2.200000e-07, elapsed = 24.7 sec
Step =      3: nodes = 2587, dt = 1.440000e-10, strain = 3.640000e-07, elapsed = 27.3 sec
Step =      4: nodes = 1693, dt = 1.728000e-10, strain = 5.368000e-07, elapsed = 28.4 sec
Step =      5: nodes = 1542, dt = 2.073600e-10, strain = 7.441600e-07, elapsed = 29.1 sec
Step =      6: nodes = 1516, dt = 2.488320e-10, strain = 9.929920e-07, elapsed = 29.6 sec
Step =      7: nodes = 1507, dt = 2.985984e-10, strain = 1.291590e-06, elapsed = 30.1 sec
Step =      8: nodes = 1491, dt = 3.583181e-10, strain = 1.649908e-06, elapsed = 30.5 sec
Step =      9: nodes = 1477, dt = 4.299817e-10, strain = 2.079890e-06, elapsed = 30.8 sec
Step =     10: nodes = 1461, dt = 5.159780e-10, strain = 2.595868e-06, elapsed = 31.0 sec
Step =     11: nodes = 1440, dt = 6.191736e-10, strain = 3.215042e-06, elapsed = 31.3 sec
Step =     12: nodes = 1419, dt = 7.430084e-10, strain = 3.958050e-06, elapsed = 31.5 sec
Step =     13: nodes = 1400, dt = 8.916100e-10, strain = 4.849660e-06, elapsed = 31.9 sec
Step =     14: nodes = 1375, dt = 1.000000e-09, strain = 5.849660e-06, elapsed = 32.2 sec
Step =     15: nodes = 1347, dt = 1.000000e-09, strain = 6.849660e-06, elapsed = 32.6 sec
Step =     16: nodes = 1334, dt = 1.000000e-09, strain = 7.849660e-06, elapsed = 32.9 sec
Step =     17: nodes = 1315, dt = 1.000000e-09, strain = 8.849660e-06, elapsed = 33.3 sec
Step =     18: nodes = 1296, dt = 1.000000e-09, strain = 9.849660e-06, elapsed = 33.6 sec
Step =     19: nodes = 1274, dt = 1.000000e-09, strain = 1.084966e-05, elapsed = 33.9 sec
Step =     20: nodes = 1260, dt = 1.000000e-09, strain = 1.184966e-05, elapsed = 34.2 sec
Step =     21: nodes = 1242, dt = 1.000000e-09, strain = 1.284966e-05, elapsed = 34.4 sec
Step =     22: nodes = 1225, dt = 1.000000e-09, strain = 1.384966e-05, elapsed = 34.7 sec
Step =     23: nodes = 1212, dt = 1.000000e-09, strain = 1.484966e-05, elapsed = 35.0 sec
Step =     24: nodes = 1205, dt = 1.000000e-09, strain = 1.584966e-05, elapsed = 35.3 sec
Step =     25: nodes = 1199, dt = 1.000000e-09, strain = 1.684966e-05, elapsed = 35.5 sec
Step =     26: nodes = 1178, dt = 1.000000e-09, strain = 1.784966e-05, elapsed = 35.8 sec
Step =     27: nodes = 1167, dt = 1.000000e-09, strain = 1.884966e-05, elapsed = 36.1 sec
Step =     28: nodes = 1157, dt = 1.000000e-09, strain = 1.984966e-05, elapsed = 36.3 sec
Step =     29: nodes = 1143, dt = 1.000000e-09, strain = 2.084966e-05, elapsed = 36.6 sec
Step =     30: nodes = 1130, dt = 1.000000e-09, strain = 2.184966e-05, elapsed = 36.8 sec
Step =     31: nodes = 1125, dt = 1.000000e-09, strain = 2.284966e-05, elapsed = 37.1 sec
Step =     32: nodes = 1118, dt = 1.000000e-09, strain = 2.384966e-05, elapsed = 37.3 sec
Step =     33: nodes = 1111, dt = 1.000000e-09, strain = 2.484966e-05, elapsed = 37.6 sec
Step =     34: nodes = 1103, dt = 1.000000e-09, strain = 2.584966e-05, elapsed = 37.8 sec
Step =     35: nodes = 1096, dt = 1.000000e-09, strain = 2.684966e-05, elapsed = 38.0 sec
Step =     36: nodes = 1088, dt = 1.000000e-09, strain = 2.784966e-05, elapsed = 38.3 sec
Step =     37: nodes = 1077, dt = 1.000000e-09, strain = 2.884966e-05, elapsed = 38.5 sec
Step =     38: nodes = 1067, dt = 1.000000e-09, strain = 2.984966e-05, elapsed = 38.7 sec
Step =     39: nodes = 1061, dt = 1.000000e-09, strain = 3.084966e-05, elapsed = 39.0 sec
Step =     40: nodes = 1058, dt = 1.000000e-09, strain = 3.184966e-05, elapsed = 39.2 sec
Step =     41: nodes = 1054, dt = 1.000000e-09, strain = 3.284966e-05, elapsed = 39.5 sec
Step =     42: nodes = 1055, dt = 1.000000e-09, strain = 3.384966e-05, elapsed = 39.8 sec
Step =     43: nodes = 1046, dt = 1.000000e-09, strain = 3.484966e-05, elapsed = 40.1 sec
Step =     44: nodes = 1030, dt = 1.000000e-09, strain = 3.584966e-05, elapsed = 40.5 sec
Step =     45: nodes = 1022, dt = 1.000000e-09, strain = 3.684966e-05, elapsed = 40.7 sec
Step =     46: nodes = 1017, dt = 1.000000e-09, strain = 3.784966e-05, elapsed = 40.9 sec
Step =     47: nodes = 1012, dt = 1.000000e-09, strain = 3.884966e-05, elapsed = 41.2 sec
Step =     48: nodes = 1006, dt = 1.000000e-09, strain = 3.984966e-05, elapsed = 41.4 sec
Step =     49: nodes = 1000, dt = 1.000000e-09, strain = 4.084966e-05, elapsed = 41.6 sec
Step =     50: nodes = 996, dt = 1.000000e-09, strain = 4.184966e-05, elapsed = 41.8 sec
Step =     51: nodes = 990, dt = 1.000000e-09, strain = 4.284966e-05, elapsed = 42.1 sec
Step =     52: nodes = 988, dt = 1.000000e-09, strain = 4.384966e-05, elapsed = 42.4 sec
Step =     53: nodes = 983, dt = 1.000000e-09, strain = 4.484966e-05, elapsed = 42.6 sec
Step =     54: nodes = 980, dt = 1.000000e-09, strain = 4.584966e-05, elapsed = 42.9 sec
Step =     55: nodes = 970, dt = 1.000000e-09, strain = 4.684966e-05, elapsed = 43.2 sec
Step =     56: nodes = 968, dt = 1.000000e-09, strain = 4.784966e-05, elapsed = 43.4 sec
Step =     57: nodes = 967, dt = 1.000000e-09, strain = 4.884966e-05, elapsed = 43.6 sec
Step =     58: nodes = 965, dt = 1.000000e-09, strain = 4.984966e-05, elapsed = 43.8 sec
Step =     59: nodes = 966, dt = 1.000000e-09, strain = 5.084966e-05, elapsed = 44.0 sec
Step =     60: nodes = 963, dt = 1.000000e-09, strain = 5.184966e-05, elapsed = 44.4 sec
Step =     61: nodes = 959, dt = 1.000000e-09, strain = 5.284966e-05, elapsed = 44.7 sec
Step =     62: nodes = 957, dt = 1.000000e-09, strain = 5.384966e-05, elapsed = 44.9 sec
Step =     63: nodes = 956, dt = 1.000000e-09, strain = 5.484966e-05, elapsed = 45.1 sec
Step =     64: nodes = 951, dt = 1.000000e-09, strain = 5.584966e-05, elapsed = 45.4 sec
Step =     65: nodes = 950, dt = 1.000000e-09, strain = 5.684966e-05, elapsed = 45.6 sec
Step =     66: nodes = 947, dt = 1.000000e-09, strain = 5.784966e-05, elapsed = 45.9 sec
Step =     67: nodes = 948, dt = 1.000000e-09, strain = 5.884966e-05, elapsed = 46.1 sec
Step =     68: nodes = 948, dt = 1.000000e-09, strain = 5.984966e-05, elapsed = 46.4 sec
Step =     69: nodes = 946, dt = 1.000000e-09, strain = 6.084966e-05, elapsed = 46.5 sec
Step =     70: nodes = 942, dt = 1.000000e-09, strain = 6.184966e-05, elapsed = 46.9 sec
Step =     71: nodes = 942, dt = 1.000000e-09, strain = 6.284966e-05, elapsed = 47.1 sec
Step =     72: nodes = 938, dt = 1.000000e-09, strain = 6.384966e-05, elapsed = 47.3 sec
Step =     73: nodes = 934, dt = 1.000000e-09, strain = 6.484966e-05, elapsed = 47.5 sec
Step =     74: nodes = 932, dt = 1.000000e-09, strain = 6.584966e-05, elapsed = 47.7 sec
Step =     75: nodes = 928, dt = 1.000000e-09, strain = 6.684966e-05, elapsed = 47.9 sec
Step =     76: nodes = 927, dt = 1.000000e-09, strain = 6.784966e-05, elapsed = 48.2 sec
Step =     77: nodes = 924, dt = 1.000000e-09, strain = 6.884966e-05, elapsed = 48.4 sec
