Step =      0: nodes = 21132, dt = 0.000000e+00, strain = 0.000000e+00, elapsed = 0.0 sec
Writing configuration in legacy data format
 Output file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_twin/config.0.data
Writing restart file
 Restart file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_twin/restart.0.exadis
Run until reaching strain = 0.010000
Step =      1: nodes = 11126, dt = 1.000000e-10, strain = 1.000000e-07, elapsed = 12.4 sec
Step =      2: nodes = 5048, dt = 1.200000e-10, strain = 2.200000e-07, elapsed = 19.7 sec
Step =      3: nodes = 2200, dt = 1.440000e-10, strain = 3.640000e-07, elapsed = 22.1 sec
Step =      4: nodes = 1577, dt = 1.728000e-10, strain = 5.368000e-07, elapsed = 22.7 sec
Step =      5: nodes = 1488, dt = 2.073600e-10, strain = 7.441600e-07, elapsed = 23.2 sec
Step =      6: nodes = 1466, dt = 2.488320e-10, strain = 9.929920e-07, elapsed = 23.4 sec
Step =      7: nodes = 1451, dt = 2.985984e-10, strain = 1.291590e-06, elapsed = 23.6 sec
Step =      8: nodes = 1433, dt = 3.583181e-10, strain = 1.649908e-06, elapsed = 23.8 sec
Step =      9: nodes = 1425, dt = 4.299817e-10, strain = 2.079890e-06, elapsed = 24.0 sec
Step =     10: nodes = 1405, dt = 5.159780e-10, strain = 2.595868e-06, elapsed = 24.2 sec
Step =     11: nodes = 1389, dt = 6.191736e-10, strain = 3.215042e-06, elapsed = 24.4 sec
Step =     12: nodes = 1368, dt = 7.430084e-10, strain = 3.958050e-06, elapsed = 24.6 sec
Step =     13: nodes = 1345, dt = 8.916100e-10, strain = 4.849660e-06, elapsed = 25.0 sec
Step =     14: nodes = 1323, dt = 1.000000e-09, strain = 5.849660e-06, elapsed = 25.3 sec
Step =     15: nodes = 1299, dt = 1.000000e-09, strain = 6.849660e-06, elapsed = 25.7 sec
Step =     16: nodes = 1281, dt = 1.000000e-09, strain = 7.849660e-06, elapsed = 25.9 sec
Step =     17: nodes = 1270, dt = 1.000000e-09, strain = 8.849660e-06, elapsed = 26.2 sec
Step =     18: nodes = 1255, dt = 1.000000e-09, strain = 9.849660e-06, elapsed = 26.5 sec
