Host Parallel Execution Space:
  KOKKOS_ENABLE_OPENMP: yes

OpenMP Runtime Configuration:
Kokkos::OpenMP thread_pool_topology[ 1 x 48 x 1 ]
Reading ParaDiS configuration
 Input file: /data/home/dg000246b/openDIS/HomeWork/init_data_pure/init_config.data
 nodes: 4163, segments: 3927
 Warning: Burgers vector is not conserved for 472 node(s)
Step =      0: nodes = 4163, dt = 0.000000e+00, strain = 0.000000e+00, elapsed = 0.3 sec
Writing configuration in legacy data format
 Output file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_fcc_pure/config.0.data
Writing restart file
 Restart file: /data/home/dg000246b/openDIS/HomeWork/output_Cu_fcc_pure/restart.0.exadis
Run until reaching strain = 0.010000
Step =      1: nodes = 1794, dt = 1.000000e-12, strain = 1.000000e-09, elapsed = 0.5 sec
Step =      2: nodes = 930, dt = 1.200000e-12, strain = 2.200000e-09, elapsed = 0.6 sec
Step =      3: nodes = 845, dt = 1.440000e-12, strain = 3.640000e-09, elapsed = 0.6 sec
Step =      4: nodes = 845, dt = 1.728000e-12, strain = 5.368000e-09, elapsed = 0.7 sec
Step =      5: nodes = 845, dt = 2.073600e-12, strain = 7.441600e-09, elapsed = 0.7 sec
Step =      6: nodes = 845, dt = 2.488320e-12, strain = 9.929920e-09, elapsed = 0.8 sec
Step =      7: nodes = 845, dt = 2.985984e-12, strain = 1.291590e-08, elapsed = 0.8 sec
Step =      8: nodes = 845, dt = 3.583181e-12, strain = 1.649908e-08, elapsed = 0.9 sec
Step =      9: nodes = 845, dt = 4.299817e-12, strain = 2.079890e-08, elapsed = 0.9 sec
Step =     10: nodes = 845, dt = 5.159780e-12, strain = 2.595868e-08, elapsed = 1.0 sec
Step =     11: nodes = 845, dt = 6.191736e-12, strain = 3.215042e-08, elapsed = 1.0 sec
Step =     12: nodes = 845, dt = 7.430084e-12, strain = 3.958050e-08, elapsed = 1.1 sec
Step =     13: nodes = 845, dt = 8.916100e-12, strain = 4.849660e-08, elapsed = 1.1 sec
Step =     14: nodes = 845, dt = 1.069932e-11, strain = 5.919592e-08, elapsed = 1.2 sec
Step =     15: nodes = 845, dt = 1.283918e-11, strain = 7.203511e-08, elapsed = 1.2 sec
Step =     16: nodes = 845, dt = 1.540702e-11, strain = 8.744213e-08, elapsed = 1.3 sec
Step =     17: nodes = 845, dt = 1.848843e-11, strain = 1.059306e-07, elapsed = 1.3 sec
Step =     18: nodes = 845, dt = 2.218611e-11, strain = 1.281167e-07, elapsed = 1.3 sec
Step =     19: nodes = 845, dt = 2.662333e-11, strain = 1.547400e-07, elapsed = 1.4 sec
Step =     20: nodes = 845, dt = 3.194800e-11, strain = 1.866880e-07, elapsed = 1.4 sec
Step =     21: nodes = 845, dt = 3.833760e-11, strain = 2.250256e-07, elapsed = 1.5 sec
Step =     22: nodes = 845, dt = 4.600512e-11, strain = 2.710307e-07, elapsed = 1.6 sec
Step =     23: nodes = 845, dt = 5.520614e-11, strain = 3.262369e-07, elapsed = 1.6 sec
Step =     24: nodes = 845, dt = 6.624737e-11, strain = 3.924842e-07, elapsed = 1.7 sec
Step =     25: nodes = 845, dt = 7.949685e-11, strain = 4.719811e-07, elapsed = 1.7 sec
Step =     26: nodes = 845, dt = 9.539622e-11, strain = 5.673773e-07, elapsed = 1.8 sec
Step =     27: nodes = 845, dt = 1.144755e-10, strain = 6.818528e-07, elapsed = 1.8 sec
Step =     28: nodes = 845, dt = 1.373706e-10, strain = 8.192233e-07, elapsed = 1.9 sec
Step =     29: nodes = 845, dt = 1.648447e-10, strain = 9.840680e-07, elapsed = 1.9 sec
Step =     30: nodes = 845, dt = 1.978136e-10, strain = 1.181882e-06, elapsed = 2.0 sec
Step =     31: nodes = 845, dt = 2.373763e-10, strain = 1.419258e-06, elapsed = 2.0 sec
Step =     32: nodes = 845, dt = 2.848516e-10, strain = 1.704109e-06, elapsed = 2.1 sec
Step =     33: nodes = 845, dt = 3.418219e-10, strain = 2.045931e-06, elapsed = 2.1 sec
Step =     34: nodes = 845, dt = 4.101863e-10, strain = 2.456118e-06, elapsed = 2.2 sec
Step =     35: nodes = 845, dt = 4.922235e-10, strain = 2.948341e-06, elapsed = 2.2 sec
Step =     36: nodes = 845, dt = 5.906682e-10, strain = 3.539009e-06, elapsed = 2.3 sec
Step =     37: nodes = 845, dt = 7.088019e-10, strain = 4.247811e-06, elapsed = 2.4 sec
Step =     38: nodes = 845, dt = 8.505622e-10, strain = 5.098373e-06, elapsed = 2.5 sec
Step =     39: nodes = 845, dt = 1.020675e-09, strain = 6.119048e-06, elapsed = 2.5 sec
Step =     40: nodes = 845, dt = 1.224810e-09, strain = 7.343858e-06, elapsed = 2.6 sec
Step =     41: nodes = 845, dt = 1.469772e-09, strain = 8.813629e-06, elapsed = 2.7 sec
Step =     42: nodes = 845, dt = 1.763726e-09, strain = 1.057736e-05, elapsed = 2.8 sec
Step =     43: nodes = 845, dt = 2.116471e-09, strain = 1.269383e-05, elapsed = 2.9 sec
Step =     44: nodes = 845, dt = 2.539765e-09, strain = 1.523359e-05, elapsed = 3.0 sec
Step =     45: nodes = 845, dt = 3.047718e-09, strain = 1.828131e-05, elapsed = 3.2 sec
Step =     46: nodes = 845, dt = 3.657262e-09, strain = 2.193857e-05, elapsed = 3.3 sec
