Kokkos::OpenMP::initialize WARNING: OMP_PROC_BIND environment variable not set
  In general, for best performance with OpenMP 4.0 or better set OMP_PROC_BIND=spread and OMP_PLACES=threads
  For best performance with OpenMP 3.1 set OMP_PROC_BIND=true
  For unit testing set OMP_PROC_BIND=false

MPI detected: For OpenMP binding to work as intended, MPI ranks must be bound to exclusive CPU sets.

Host Parallel Execution Space:
  KOKKOS_ENABLE_OPENMP: yes

OpenMP Runtime Configuration:
Kokkos::OpenMP thread_pool_topology[ 1 x 48 x 1 ]
Reading ParaDiS configuration
 Input file: 180chains_16.10e.data
 nodes: 5055, segments: 5930
 Burgers vector is conserved for all nodes
Step =      0: nodes = 5055, dt = 0.000000e+00, strain = 0.000000e+00, elapsed = 0.0 sec
Writing configuration in legacy data format
 Output file: output_fcc_Cu_15um_1e3/config.0.data
Writing restart file
 Restart file: output_fcc_Cu_15um_1e3/restart.0.exadis
Run until reaching strain = 0.010000
Step =      1: nodes = 9096, dt = 1.000000e-10, strain = 1.000000e-07, elapsed = 0.5 sec
Step =      2: nodes = 10919, dt = 1.200000e-10, strain = 2.200000e-07, elapsed = 1.3 sec
Step =      3: nodes = 10933, dt = 1.440000e-10, strain = 3.640000e-07, elapsed = 2.9 sec
Step =      4: nodes = 10929, dt = 1.728000e-10, strain = 5.368000e-07, elapsed = 3.8 sec
Step =      5: nodes = 10942, dt = 2.073600e-10, strain = 7.441600e-07, elapsed = 4.6 sec
Step =      6: nodes = 10947, dt = 2.488320e-10, strain = 9.929920e-07, elapsed = 5.9 sec
Step =      7: nodes = 10954, dt = 2.985984e-10, strain = 1.291590e-06, elapsed = 7.1 sec
Step =      8: nodes = 10956, dt = 3.583181e-10, strain = 1.649908e-06, elapsed = 8.8 sec
Step =      9: nodes = 10969, dt = 4.299817e-10, strain = 2.079890e-06, elapsed = 9.9 sec
Step =     10: nodes = 10980, dt = 5.159780e-10, strain = 2.595868e-06, elapsed = 11.8 sec
Step =     11: nodes = 11007, dt = 6.191736e-10, strain = 3.215042e-06, elapsed = 13.7 sec
Step =     12: nodes = 11017, dt = 7.430084e-10, strain = 3.958050e-06, elapsed = 15.6 sec
Step =     13: nodes = 11030, dt = 4.458050e-10, strain = 4.403855e-06, elapsed = 17.3 sec
Step =     14: nodes = 11032, dt = 4.458050e-10, strain = 4.849660e-06, elapsed = 19.5 sec
Step =     15: nodes = 11043, dt = 5.349660e-10, strain = 5.384626e-06, elapsed = 20.9 sec
Step =     16: nodes = 11052, dt = 6.419592e-10, strain = 6.026586e-06, elapsed = 22.6 sec
Step =     17: nodes = 11064, dt = 7.703511e-10, strain = 6.796937e-06, elapsed = 25.9 sec
Step =     18: nodes = 11081, dt = 4.622106e-10, strain = 7.259147e-06, elapsed = 27.2 sec
Step =     19: nodes = 11078, dt = 4.622106e-10, strain = 7.721358e-06, elapsed = 28.4 sec
Step =     20: nodes = 11077, dt = 5.546528e-10, strain = 8.276011e-06, elapsed = 29.6 sec
Step =     21: nodes = 11089, dt = 6.655833e-10, strain = 8.941594e-06, elapsed = 31.0 sec
Step =     22: nodes = 11097, dt = 7.987000e-10, strain = 9.740294e-06, elapsed = 32.6 sec
Step =     23: nodes = 11108, dt = 4.792200e-10, strain = 1.021951e-05, elapsed = 33.9 sec
Step =     24: nodes = 11107, dt = 4.792200e-10, strain = 1.069873e-05, elapsed = 35.1 sec
Step =     25: nodes = 11110, dt = 5.750640e-10, strain = 1.127380e-05, elapsed = 36.5 sec
